dataset,heuristic_type,heuristic,is_baseline,population,burn_in,replay,reselection,reanalysis,normalisation,credit,discounted_rewards,run,step,train_loss,train_accuracy,test_loss,test_accuracy
iris,standalone,ga,,,,,,,,,,1,20,0.35360935,0.95,0.3096785,1.0
iris,standalone,rmsprop,,,,,,,,,,1,20,0.11949929,0.96666664,0.1364939,0.96666664
iris,standalone,momentum,,,,,,,,,,1,20,1.023641,0.7,1.019221,0.9
iris,standalone,nag,,,,,,,,,,1,20,0.21416418,0.90833336,0.23893017,0.93333334
iris,standalone,adagrad,,,,,,,,,,1,20,0.33759996,0.85833335,0.64024097,0.6333333
iris,standalone,sgd,,,,,,,,,,1,20,0.9574746,0.73333335,0.94416636,0.8666667
iris,standalone,de,,,,,,,,,,1,20,0.35631505,0.8666667,0.6158068,0.7
iris,standalone,pso,,,,,,,,,,1,20,0.018962197,1.0,0.18489625,0.93333334
iris,standalone,adam,,,,,,,,,,1,20,0.060936578,0.975,0.15701224,0.93333334
iris,standalone,adadelta,,,,,,,,,,1,20,0.9849088,0.75,0.990469,0.6666667
iris,bhh,bhh_gd_only,true,5,0,10,1,1,true,gbest,true,1,20,0.156009766,0.958333318,0.19088594500000003,0.93333332800000013
iris,bhh,bhh,true,5,0,10,1,1,true,gbest,true,1,20,0.1668903465,0.938333318,0.16241155399999999,0.930000004
iris,standalone,ga,,,,,,,,,,2,20,0.44866765,0.69166666,0.53699553,0.6333333
iris,standalone,rmsprop,,,,,,,,,,2,20,0.06834438,0.975,0.10204819,0.96666664
iris,standalone,momentum,,,,,,,,,,2,20,0.8744387,0.65833336,0.84395015,0.7
iris,standalone,nag,,,,,,,,,,2,20,0.17818126,0.9583333,0.22210236,0.93333334
iris,standalone,adagrad,,,,,,,,,,2,20,0.2893547,0.90833336,0.3684377,0.8333333
iris,standalone,sgd,,,,,,,,,,2,20,0.7312049,0.6666667,0.7254763,0.6666667
iris,standalone,de,,,,,,,,,,2,20,0.529662,0.7083333,0.71027964,0.6
iris,standalone,pso,,,,,,,,,,2,20,0.117804185,0.975,0.2117006,0.93333334
iris,standalone,adam,,,,,,,,,,2,20,0.038819756,0.98333335,0.13431579,0.9
iris,standalone,adadelta,,,,,,,,,,2,20,0.86220205,0.69166666,0.89683825,0.56666666
iris,bhh,bhh_gd_only,true,5,0,10,1,1,true,gbest,true,2,20,0.198040551,0.929166674,0.232560039,0.9333333359999999
iris,bhh,bhh,true,5,0,10,1,1,true,gbest,true,2,20,0.0884293214,0.974999998,0.13846414499999998,0.93333333000000007
iris,standalone,ga,,,,,,,,,,3,20,0.40161514,0.875,0.4058701,0.76666665
iris,standalone,rmsprop,,,,,,,,,,3,20,0.09665939,0.975,0.09546993,0.96666664
iris,standalone,momentum,,,,,,,,,,3,20,0.94809806,0.8,0.9062522,0.8666667
iris,standalone,nag,,,,,,,,,,3,20,0.22642682,0.93333334,0.20969109,0.96666664
iris,standalone,adagrad,,,,,,,,,,3,20,0.36094874,0.8666667,0.29276675,0.8666667
iris,standalone,sgd,,,,,,,,,,3,20,0.77956396,0.7,0.8259752,0.6
iris,standalone,de,,,,,,,,,,3,20,0.377904,0.81666666,0.43634415,0.8666667
iris,standalone,pso,,,,,,,,,,3,20,0.05662199,0.975,0.030789418,1.0
iris,standalone,adam,,,,,,,,,,3,20,0.050701283,0.975,0.06683791,0.96666664
iris,standalone,adadelta,,,,,,,,,,3,20,0.7296118,0.76666665,0.7464007,0.76666665
iris,bhh,bhh_gd_only,true,5,0,10,1,1,true,gbest,true,3,20,0.13245878839999997,0.96749999,0.2002711845,0.91999999999999993
iris,bhh,bhh,true,5,0,10,1,1,true,gbest,true,3,20,0.1380577886,0.94583333000000014,0.1865538245,0.9233333239999999
iris,standalone,ga,,,,,,,,,,4,20,0.301046,0.8833333,0.2805006,0.93333334
iris,standalone,rmsprop,,,,,,,,,,4,20,0.08087011,0.9583333,0.08289448,0.96666664
iris,standalone,momentum,,,,,,,,,,4,20,0.91393256,0.75,0.94185156,0.8333333
iris,standalone,nag,,,,,,,,,,4,20,0.22021945,0.9583333,0.20685022,0.96666664
iris,standalone,adagrad,,,,,,,,,,4,20,0.3464651,0.875,0.4411712,0.8666667
iris,standalone,sgd,,,,,,,,,,4,20,0.7994576,0.78333336,0.79859066,0.8333333
iris,standalone,de,,,,,,,,,,4,20,0.28776804,0.90833336,0.34824857,0.8
iris,standalone,pso,,,,,,,,,,4,20,0.061565597,0.96666664,0.21219526,0.9
iris,standalone,adam,,,,,,,,,,4,20,0.08935261,0.975,0.08094462,0.96666664
iris,standalone,adadelta,,,,,,,,,,4,20,0.7865713,0.68333334,0.83252496,0.5
iris,bhh,bhh_gd_only,true,5,0,10,1,1,true,gbest,true,4,20,0.138847961,0.95999999100000011,0.19470974549999998,0.916666664
iris,bhh,bhh,true,5,0,10,1,1,true,gbest,true,4,20,0.1313520742,0.959166673,0.20231014,0.920000004
iris,standalone,ga,,,,,,,,,,5,20,0.3101144,0.9,0.47510162,0.8
iris,standalone,rmsprop,,,,,,,,,,5,20,0.073831394,0.975,0.050116852,0.96666664
iris,standalone,momentum,,,,,,,,,,5,20,0.93504107,0.6166667,0.9233812,0.6333333
iris,standalone,nag,,,,,,,,,,5,20,0.21399935,0.93333334,0.21474811,0.93333334
iris,standalone,adagrad,,,,,,,,,,5,20,0.31767005,0.9,0.35067636,0.8333333
iris,standalone,sgd,,,,,,,,,,5,20,0.775153,0.68333334,0.8466196,0.56666666
iris,standalone,de,,,,,,,,,,5,20,0.23619321,0.875,0.33446136,0.9
iris,standalone,pso,,,,,,,,,,5,20,0.043555107,0.9916667,0.23382878,0.96666664
iris,standalone,adam,,,,,,,,,,5,20,0.0876378,0.96666664,0.06963364,1.0
iris,standalone,adadelta,,,,,,,,,,5,20,0.7751926,0.65833336,0.80007786,0.73333335
iris,bhh,bhh_gd_only,true,5,0,10,1,1,true,gbest,true,5,20,0.16433256460000004,0.944166662,0.196767751,0.933333326
iris,bhh,bhh,true,5,0,10,1,1,true,gbest,true,5,20,0.0953131493,0.96833332600000011,0.15254510320000003,0.943333322
iris,standalone,ga,,,,,,,,,,6,20,0.40523446,0.84166664,0.436444,0.8666667
iris,standalone,rmsprop,,,,,,,,,,6,20,0.07778625,0.975,0.14871004,0.9
iris,standalone,momentum,,,,,,,,,,6,20,1.0440191,0.6333333,1.030916,0.76666665
iris,standalone,nag,,,,,,,,,,6,20,0.22335036,0.95,0.19931637,0.96666664
iris,standalone,adagrad,,,,,,,,,,6,20,0.30374,0.9166667,0.2859265,0.9
iris,standalone,sgd,,,,,,,,,,6,20,0.9779186,0.65,0.96390176,0.73333335
iris,standalone,de,,,,,,,,,,6,20,0.31819588,0.8666667,0.50073487,0.76666665
iris,standalone,pso,,,,,,,,,,6,20,0.045955595,0.975,0.78307396,0.9
iris,standalone,adam,,,,,,,,,,6,20,0.06749675,0.975,0.03852934,1.0
iris,standalone,adadelta,,,,,,,,,,6,20,0.62764347,0.65833336,0.5520543,0.7
iris,bhh,bhh_gd_only,true,5,0,10,1,1,true,gbest,true,6,20,0.16181052,0.958333321,0.1646104105,0.953333326
iris,bhh,bhh,true,5,0,10,1,1,true,gbest,true,6,20,0.1000654661,0.969166668,0.16313675610000003,0.936666652
iris,standalone,ga,,,,,,,,,,7,20,0.49097732,0.78333336,0.41565913,0.8333333
iris,standalone,rmsprop,,,,,,,,,,7,20,0.05645136,0.98333335,0.0989544,0.96666664
iris,standalone,momentum,,,,,,,,,,7,20,0.81935996,0.73333335,0.91384226,0.56666666
iris,standalone,nag,,,,,,,,,,7,20,0.26495597,0.9166667,0.19418974,1.0
iris,standalone,adagrad,,,,,,,,,,7,20,0.36678755,0.85833335,0.28669378,0.93333334
iris,standalone,sgd,,,,,,,,,,7,20,0.69685584,0.78333336,0.9102837,0.6333333
iris,standalone,de,,,,,,,,,,7,20,0.18130936,0.96666664,0.28115666,0.9
iris,standalone,pso,,,,,,,,,,7,20,0.09602676,0.96666664,0.022940766,1.0
iris,standalone,adam,,,,,,,,,,7,20,0.09259922,0.96666664,0.044563245,1.0
iris,standalone,adadelta,,,,,,,,,,7,20,0.81024224,0.59166664,0.7634866,0.6333333
iris,bhh,bhh_gd_only,true,5,0,10,1,1,true,gbest,true,7,20,0.156698398,0.955833327,0.224915395,0.92333332
iris,bhh,bhh,true,5,0,10,1,1,true,gbest,true,7,20,0.1067557035,0.964999992,0.17409264549999998,0.93666667
iris,standalone,ga,,,,,,,,,,8,20,0.3926809,0.8666667,0.3783984,0.8333333
iris,standalone,rmsprop,,,,,,,,,,8,20,0.055991013,0.975,0.08873002,0.96666664
iris,standalone,momentum,,,,,,,,,,8,20,0.844228,0.6666667,0.81287056,0.6666667
iris,standalone,nag,,,,,,,,,,8,20,0.18652678,0.94166666,0.13850763,1.0
iris,standalone,adagrad,,,,,,,,,,8,20,0.25923002,0.94166666,0.2863929,0.9
iris,standalone,sgd,,,,,,,,,,8,20,0.74042404,0.775,0.63793683,0.8333333
iris,standalone,de,,,,,,,,,,8,20,0.37708426,0.8,0.43198052,0.7
iris,standalone,pso,,,,,,,,,,8,20,0.1065356,0.9583333,0.42623472,0.8666667
iris,standalone,adam,,,,,,,,,,8,20,0.07535529,0.9583333,0.067047924,1.0
iris,standalone,adadelta,,,,,,,,,,8,20,0.68160886,0.675,0.6957724,0.6333333
iris,bhh,bhh_gd_only,true,5,0,10,1,1,true,gbest,true,8,20,0.184732537,0.945833328,0.212441918,0.92333333999999989
iris,bhh,bhh,true,5,0,10,1,1,true,gbest,true,8,20,0.092842221600000011,0.971666659,0.14750016653999998,0.946666658
iris,standalone,ga,,,,,,,,,,9,20,0.36452216,0.8666667,0.4915151,0.73333335
iris,standalone,rmsprop,,,,,,,,,,9,20,0.08786853,0.96666664,0.07868637,1.0
iris,standalone,momentum,,,,,,,,,,9,20,1.0378565,0.575,1.0622089,0.3
iris,standalone,nag,,,,,,,,,,9,20,0.21600227,0.925,0.2672717,0.93333334
iris,standalone,adagrad,,,,,,,,,,9,20,0.3258526,0.8833333,0.29533625,0.9
iris,standalone,sgd,,,,,,,,,,9,20,0.9639521,0.41666666,0.9970557,0.4
iris,standalone,de,,,,,,,,,,9,20,0.4544187,0.78333336,0.4743839,0.76666665
iris,standalone,pso,,,,,,,,,,9,20,0.0312586,0.9916667,0.0067266845,1.0
iris,standalone,adam,,,,,,,,,,9,20,0.057727832,0.975,0.098879926,0.93333334
iris,standalone,adadelta,,,,,,,,,,9,20,0.81898946,0.825,0.87386036,0.76666665
iris,bhh,bhh_gd_only,true,5,0,10,1,1,true,gbest,true,9,20,0.181402621,0.94583331799999992,0.18993953400000002,0.94666666199999994
iris,bhh,bhh,true,5,0,10,1,1,true,gbest,true,9,20,0.1288292257,0.959166669,0.1445522881,0.95666665800000006
iris,standalone,ga,,,,,,,,,,10,20,0.5765945,0.7583333,0.6904145,0.6666667
iris,standalone,rmsprop,,,,,,,,,,10,20,0.07621474,0.96666664,0.045811556,1.0
iris,standalone,momentum,,,,,,,,,,10,20,0.8136538,0.725,0.72793096,0.76666665
iris,standalone,nag,,,,,,,,,,10,20,0.22452882,0.90833336,0.2871548,0.8333333
iris,standalone,adagrad,,,,,,,,,,10,20,0.33972296,0.85,0.4306087,0.8
iris,standalone,sgd,,,,,,,,,,10,20,0.6857864,0.78333336,0.73933756,0.7
iris,standalone,de,,,,,,,,,,10,20,0.34574002,0.8666667,0.41145897,0.76666665
iris,standalone,pso,,,,,,,,,,10,20,0.04061483,0.98333335,0.010411483,1.0
iris,standalone,adam,,,,,,,,,,10,20,0.06823181,0.96666664,0.035952784,0.96666664
iris,standalone,adadelta,,,,,,,,,,10,20,0.7415043,0.75,0.6759922,0.9
iris,bhh,bhh_gd_only,true,5,0,10,1,1,true,gbest,true,10,20,0.192300111,0.93999999600000006,0.20894565999999998,0.936666662
iris,bhh,bhh,true,5,0,10,1,1,true,gbest,true,10,20,0.081785226400000008,0.969166657,0.1527533557,0.94333333000000008